Expected: 1445, Result: 1445 Passed
Expected: 1876, Result: 1876 Passed
Expected: 1794, Result: 1794 Passed
Expected: 1739, Result: 1739 Passed
Expected: 1450, Result: 1450 Passed
Expected: 1792, Result: 1792 Passed
Expected: 1824, Result: 1824 Passed
Expected: 1606, Result: 1606 Passed
Expected: 1273, Result: 1273 Passed
Expected: 1422, Result: 1422 Passed
Expected: 1495, Result: 1495 Passed
Expected: 1240, Result: 1240 Passed
Expected: 1704, Result: 1704 Passed
Expected: 1894, Result: 1894 Passed
Expected: 1928, Result: 1928 Passed
Expected: 1447, Result: 1447 Passed
Expected: 1365, Result: 1365 Passed
Expected: 1350, Result: 1350 Passed
Expected: 1700, Result: 1700 Passed
Expected: 1494, Result: 1494 Passed
Expected: 1774, Result: 1774 Passed
Expected: 1639, Result: 1639 Passed
Expected: 2402, Result: 2402 Passed
Expected: 2085, Result: 2085 Passed
Expected: 1161, Result: 1161 Passed
Expected: 1160, Result: 1160 Passed
Expected: 1905, Result: 1905 Passed
Expected: 1493, Result: 1493 Passed
Expected: 1329, Result: 1329 Passed
Expected: 1203, Result: 1203 Passed
Expected: 1484, Result: 1484 Passed
Expected: 978, Result: 978 Passed
Expected: 1279, Result: 1279 Passed
Expected: 1352, Result: 1352 Passed
Expected: 1110, Result: 1110 Passed
Expected: 1323, Result: 1323 Passed
Expected: 1255, Result: 1255 Passed
Expected: 1334, Result: 1334 Passed
Expected: 992, Result: 992 Passed
Expected: 1555, Result: 1555 Passed
Expected: 1511, Result: 1511 Passed
Expected: 1667, Result: 1667 Passed
Expected: 1383, Result: 1383 Passed
Expected: 2112, Result: 2112 Passed
Expected: 1340, Result: 1340 Passed
Expected: 1518, Result: 1518 Passed
Expected: 1113, Result: 1113 Passed
Expected: 1573, Result: 1573 Passed
Expected: 999, Result: 999 Passed
Expected: 1143, Result: 1143 Passed
Expected: 858, Result: 858 Passed
Expected: 820, Result: 820 Passed
Expected: 950, Result: 950 Passed
Expected: 833, Result: 833 Passed
Expected: 874, Result: 874 Passed
Expected: 755, Result: 755 Passed
Expected: 846, Result: 846 Passed
Expected: 1030, Result: 1030 Passed
Expected: 850, Result: 850 Passed
Expected: 733, Result: 733 Passed
Expected: 1200, Result: 1200 Passed
Expected: 1189, Result: 1189 Passed
Expected: 1080, Result: 1080 Passed
Expected: 1053, Result: 1053 Passed
Expected: 2894, Result: 2894 Passed
Expected: 2781, Result: 2781 Passed
Expected: 2860, Result: 2860 Passed
Expected: 2033, Result: 2033 Passed
Expected: 3358, Result: 3358 Passed
Expected: 3632, Result: 3632 Passed
Expected: 3574, Result: 3574 Passed
Expected: 3105, Result: 3105 Passed
Expected: 3649, Result: 3649 Passed
Expected: 3749, Result: 3749 Passed
Expected: 3860, Result: 3860 Passed
Expected: 3181, Result: 3181 Passed
Expected: 2982, Result: 2982 Passed
Expected: 3060, Result: 3060 Passed
Expected: 2751, Result: 2751 Passed
Expected: 2658, Result: 2658 Passed
Expected: 1843, Result: 1843 Passed
Expected: 1664, Result: 1664 Passed
Expected: 1230, Result: 1230 Passed
Expected: 1230, Result: 1230 Passed
Expected: 1398, Result: 1398 Passed
Expected: 1493, Result: 1493 Passed
Expected: 930, Result: 930 Passed
Expected: 1081, Result: 1081 Passed
Expected: 1818, Result: 1818 Passed
Expected: 1471, Result: 1471 Passed
Expected: 1234, Result: 1234 Passed
Expected: 1284, Result: 1284 Passed
Expected: 2022, Result: 2022 Passed
Expected: 1848, Result: 1848 Passed
Expected: 1320, Result: 1320 Passed
Expected: 1414, Result: 1414 Passed
Expected: 3116, Result: 3116 Passed
Expected: 3662, Result: 3662 Passed
Expected: 2241, Result: 2241 Passed
Expected: 3048, Result: 3048 Passed
Expected: 2787, Result: 2787 Passed
Expected: 3119, Result: 3119 Passed
Expected: 2236, Result: 2236 Passed
Expected: 3151, Result: 3151 Passed
Expected: 4003, Result: 4003 Passed
Expected: 4742, Result: 4742 Passed
Expected: 2878, Result: 2878 Passed
Expected: 3962, Result: 3962 Passed
Expected: 2396, Result: 2396 Passed
Expected: 2870, Result: 2870 Passed
Expected: 1749, Result: 1749 Passed
Expected: 2767, Result: 2767 Passed
112 out of 112 entries correct
