Expected: 1133, Result: 1133 Passed
Expected: 1518, Result: 1518 Passed
Expected: 1895, Result: 1895 Passed
Expected: 1357, Result: 1357 Passed
Expected: 948, Result: 948 Passed
Expected: 1673, Result: 1673 Passed
Expected: 1381, Result: 1381 Passed
Expected: 1364, Result: 1364 Passed
Expected: 936, Result: 936 Passed
Expected: 1263, Result: 1263 Passed
Expected: 1043, Result: 1043 Passed
Expected: 1071, Result: 1071 Passed
Expected: 1276, Result: 1276 Passed
Expected: 1471, Result: 1471 Passed
Expected: 1896, Result: 1896 Passed
Expected: 1399, Result: 1399 Passed
Expected: 361, Result: 361 Passed
Expected: 281, Result: 281 Passed
Expected: 179, Result: 179 Passed
Expected: 181, Result: 181 Passed
Expected: 297, Result: 297 Passed
Expected: 245, Result: 245 Passed
Expected: 185, Result: 185 Passed
Expected: 153, Result: 153 Passed
Expected: 290, Result: 290 Passed
Expected: 224, Result: 224 Passed
Expected: 152, Result: 152 Passed
Expected: 136, Result: 136 Passed
Expected: 291, Result: 291 Passed
Expected: 213, Result: 213 Passed
Expected: 132, Result: 132 Passed
Expected: 125, Result: 125 Passed
Expected: 2535, Result: 2535 Passed
Expected: 2287, Result: 2287 Passed
Expected: 2624, Result: 2624 Passed
Expected: 1969, Result: 1969 Passed
Expected: 3880, Result: 3880 Passed
Expected: 3326, Result: 3326 Passed
Expected: 3562, Result: 3562 Passed
Expected: 3032, Result: 3032 Passed
Expected: 3517, Result: 3517 Passed
Expected: 3203, Result: 3203 Passed
Expected: 3837, Result: 3837 Passed
Expected: 2734, Result: 2734 Passed
Expected: 3858, Result: 3858 Passed
Expected: 3329, Result: 3329 Passed
Expected: 3319, Result: 3319 Passed
Expected: 2312, Result: 2312 Passed
Expected: 2664, Result: 2664 Passed
Expected: 1977, Result: 1977 Passed
Expected: 3335, Result: 3335 Passed
Expected: 2307, Result: 2307 Passed
Expected: 2601, Result: 2601 Passed
Expected: 1841, Result: 1841 Passed
Expected: 3198, Result: 3198 Passed
Expected: 2159, Result: 2159 Passed
Expected: 2411, Result: 2411 Passed
Expected: 2025, Result: 2025 Passed
Expected: 2979, Result: 2979 Passed
Expected: 2013, Result: 2013 Passed
Expected: 2391, Result: 2391 Passed
Expected: 1972, Result: 1972 Passed
Expected: 2865, Result: 2865 Passed
Expected: 2026, Result: 2026 Passed
Expected: 2271, Result: 2271 Passed
Expected: 2273, Result: 2273 Passed
Expected: 2018, Result: 2018 Passed
Expected: 2560, Result: 2560 Passed
Expected: 2405, Result: 2405 Passed
Expected: 2485, Result: 2485 Passed
Expected: 2214, Result: 2214 Passed
Expected: 2655, Result: 2655 Passed
Expected: 1536, Result: 1536 Passed
Expected: 1449, Result: 1449 Passed
Expected: 1454, Result: 1454 Passed
Expected: 2014, Result: 2014 Passed
Expected: 2114, Result: 2114 Passed
Expected: 2012, Result: 2012 Passed
Expected: 2035, Result: 2035 Passed
Expected: 2323, Result: 2323 Passed
Expected: 367, Result: 367 Passed
Expected: 320, Result: 320 Passed
Expected: 321, Result: 321 Passed
Expected: 400, Result: 400 Passed
Expected: 193, Result: 193 Passed
Expected: 150, Result: 150 Passed
Expected: 152, Result: 152 Passed
Expected: 163, Result: 163 Passed
Expected: 457, Result: 457 Passed
Expected: 348, Result: 348 Passed
Expected: 221, Result: 221 Passed
Expected: 346, Result: 346 Passed
Expected: 495, Result: 495 Passed
Expected: 395, Result: 395 Passed
Expected: 203, Result: 203 Passed
Expected: 413, Result: 413 Passed
96 out of 96 entries correct
