Expected: 2010, Result: 2010 Passed
Expected: 1972, Result: 1972 Passed
Expected: 1686, Result: 1686 Passed
Expected: 1272, Result: 1272 Passed
Expected: 1414, Result: 1414 Passed
Expected: 1827, Result: 1827 Passed
Expected: 1254, Result: 1254 Passed
Expected: 941, Result: 941 Passed
Expected: 1991, Result: 1991 Passed
Expected: 2317, Result: 2317 Passed
Expected: 1976, Result: 1976 Passed
Expected: 1417, Result: 1417 Passed
Expected: 1655, Result: 1655 Passed
Expected: 1723, Result: 1723 Passed
Expected: 1230, Result: 1230 Passed
Expected: 1129, Result: 1129 Passed
Expected: 978, Result: 978 Passed
Expected: 528, Result: 528 Passed
Expected: 593, Result: 593 Passed
Expected: 658, Result: 658 Passed
Expected: 1254, Result: 1254 Passed
Expected: 988, Result: 988 Passed
Expected: 749, Result: 749 Passed
Expected: 930, Result: 930 Passed
Expected: 1444, Result: 1444 Passed
Expected: 914, Result: 914 Passed
Expected: 677, Result: 677 Passed
Expected: 1030, Result: 1030 Passed
Expected: 1320, Result: 1320 Passed
Expected: 877, Result: 877 Passed
Expected: 526, Result: 526 Passed
Expected: 534, Result: 534 Passed
Expected: 1073, Result: 1073 Passed
Expected: 1493, Result: 1493 Passed
Expected: 1041, Result: 1041 Passed
Expected: 1196, Result: 1196 Passed
Expected: 401, Result: 401 Passed
Expected: 573, Result: 573 Passed
Expected: 641, Result: 641 Passed
Expected: 784, Result: 784 Passed
Expected: 439, Result: 439 Passed
Expected: 1051, Result: 1051 Passed
Expected: 891, Result: 891 Passed
Expected: 831, Result: 831 Passed
Expected: 452, Result: 452 Passed
Expected: 524, Result: 524 Passed
Expected: 426, Result: 426 Passed
Expected: 384, Result: 384 Passed
Expected: 413, Result: 413 Passed
Expected: 84, Result: 84 Passed
Expected: 382, Result: 382 Passed
Expected: 364, Result: 364 Passed
Expected: 264, Result: 264 Passed
Expected: 53, Result: 53 Passed
Expected: 242, Result: 242 Passed
Expected: 216, Result: 216 Passed
Expected: 315, Result: 315 Passed
Expected: 63, Result: 63 Passed
Expected: 288, Result: 288 Passed
Expected: 252, Result: 252 Passed
Expected: 601, Result: 601 Passed
Expected: 121, Result: 121 Passed
Expected: 552, Result: 552 Passed
Expected: 500, Result: 500 Passed
Expected: 1538, Result: 1538 Passed
Expected: 1570, Result: 1570 Passed
Expected: 1650, Result: 1650 Passed
Expected: 1893, Result: 1893 Passed
Expected: 1157, Result: 1157 Passed
Expected: 1231, Result: 1231 Passed
Expected: 1179, Result: 1179 Passed
Expected: 1430, Result: 1430 Passed
Expected: 1835, Result: 1835 Passed
Expected: 1827, Result: 1827 Passed
Expected: 1628, Result: 1628 Passed
Expected: 1643, Result: 1643 Passed
Expected: 1877, Result: 1877 Passed
Expected: 1715, Result: 1715 Passed
Expected: 1572, Result: 1572 Passed
Expected: 1961, Result: 1961 Passed
Expected: 326, Result: 326 Passed
Expected: 427, Result: 427 Passed
Expected: 538, Result: 538 Passed
Expected: 623, Result: 623 Passed
Expected: 386, Result: 386 Passed
Expected: 571, Result: 571 Passed
Expected: 719, Result: 719 Passed
Expected: 1060, Result: 1060 Passed
Expected: 494, Result: 494 Passed
Expected: 942, Result: 942 Passed
Expected: 850, Result: 850 Passed
Expected: 1471, Result: 1471 Passed
Expected: 541, Result: 541 Passed
Expected: 779, Result: 779 Passed
Expected: 922, Result: 922 Passed
Expected: 1453, Result: 1453 Passed
Expected: 1068, Result: 1068 Passed
Expected: 800, Result: 800 Passed
Expected: 384, Result: 384 Passed
Expected: 833, Result: 833 Passed
Expected: 947, Result: 947 Passed
Expected: 735, Result: 735 Passed
Expected: 309, Result: 309 Passed
Expected: 1236, Result: 1236 Passed
Expected: 796, Result: 796 Passed
Expected: 593, Result: 593 Passed
Expected: 227, Result: 227 Passed
Expected: 823, Result: 823 Passed
Expected: 665, Result: 665 Passed
Expected: 609, Result: 609 Passed
Expected: 287, Result: 287 Passed
Expected: 732, Result: 732 Passed
112 out of 112 entries correct
